epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,79.6891,1.11817,2.68284,0.01873,0.66198,0.66667,0.80489,0.65699,1.62281,1.19356,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,81.9996,1.34412,2.43847,0.01947,0.66198,0.66667,0.80489,0.65699,1.62281,1.19356,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,84.303,1.00747,1.74884,0.01328,0.70413,0.66667,0.80298,0.65482,1.63426,1.19023,0.01084,2.87504e-05,2.87504e-05,2.87504e-05
42,86.4751,1.12398,1.6568,0.01732,0.70413,0.66667,0.80298,0.65482,1.63426,1.19023,0.01084,2.89861e-05,2.89861e-05,2.89861e-05
43,88.5638,0.47842,2.91957,0.00954,0.69661,0.67242,0.80379,0.65574,1.63194,1.22598,0.01072,2.91983e-05,2.91983e-05,2.91983e-05
44,90.6346,0.99874,1.45637,0.01364,0.69661,0.67242,0.80379,0.65574,1.63194,1.22598,0.01072,2.93869e-05,2.93869e-05,2.93869e-05
45,92.7245,0.62202,1.59165,0.01045,0.67559,0.67333,0.80373,0.64845,1.63351,1.26837,0.0107,2.9552e-05,2.9552e-05,2.9552e-05
46,94.8977,1.31495,1.81859,0.02226,0.67559,0.67333,0.80373,0.64845,1.63351,1.26837,0.0107,2.96935e-05,2.96935e-05,2.96935e-05
47,97.1576,1.02459,1.22036,0.01115,0.69103,0.67459,0.79287,0.6406,1.64863,1.29704,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,99.2655,1.02206,1.36065,0.01357,0.69103,0.67459,0.79287,0.6406,1.64863,1.29704,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,101.375,1.18202,1.65774,0.01441,0.68064,0.67918,0.80668,0.62718,1.66992,1.24067,0.01187,2.99766e-05,2.99766e-05,2.99766e-05
50,103.406,1.08861,1.08894,0.01331,0.68064,0.67918,0.80668,0.62718,1.66992,1.24067,0.01187,3.00238e-05,3.00238e-05,3.00238e-05
51,105.505,0.92685,1.27165,0.01052,0.68383,0.66318,0.80367,0.62163,1.69139,1.26298,0.01237,3.00475e-05,3.00475e-05,3.00475e-05
52,107.638,1.07523,1.04836,0.00953,0.68383,0.66318,0.80367,0.62163,1.69139,1.26298,0.01237,3.00476e-05,3.00476e-05,3.00476e-05
53,109.776,0.79362,1.28003,0.01234,0.68383,0.66318,0.80367,0.62163,1.69139,1.26298,0.01237,3.00242e-05,3.00242e-05,3.00242e-05
